"Ledger Id","Ledger Name","Group Name",Debit,Credit
114,"Securities Premium Reserve","Securities Premium Reserve",0,0
115,"Security Deposits (Liability)","Security Deposits (Liability)",0,0
116,"Security Expenses","Security Expenses",0,0
117,"Service Charges Paid","Direct Expenses",0,0
118,"Service Charges Received","Service Charges Received",0,0
119,"Output SGST","Statutory Dues",0,0
120,"Share Capital","Share Capital",0,0
121,"Sight Seeing Cancellation Expenses","Purchase Return",0,0
122,"Sight Seeing Expenses","Sight Seeing Expenses",0,0
123,"Staff Recruitment Expenses","Staff Recruitment Expenses",0,0
124,"Staff training Expenses","Staff training Expenses",0,0
125,"Staff Wefare Expenses","Employee Benefit Expenses",0,0
126,"TDS Payable","Statutory Dues",0,0
127,"TDS Receivable","Short Term Loans & Advances",0,0
128,"Trade Payables","Other Current Liabilities",0,0
129,"Trade Receivables","Trade Receivables",0,0
130,TradeMarks,"Intangible Asset",0,0
131,"Train Ticket Cancellation  Expenses","Purchase Return",0,0
132,"Train Ticket Expenses","Train Ticket Expenses",0,0
133,"Train Tickets Sales","Sale of Services",0,0
134,"Train Tickets Sales Return","Sales Return",0,0
135,"Travelling Cost","Travelling Cost",0,0
136,"Unpaid dividends","Unpaid dividends",0,0
137,"Unsecured Loan","Unsecured Loan",0,0
138,"Output UTGST","Statutory Dues",0,0
139,Vehicles,"Tangible Asset",0,0
140,"Visa Services sales","Sale of Services",0,0
141,"Visa Services sales Return","Sales Return",0,0
142,"Insurance Commission","Direct Expenses",0,0
143,"Expenses For Passport Services ","Direct Expenses",0,0
144,"Expenses For Visa Services","Direct Expenses",0,0
145,"Input CGST","Statutory Dues",0,0
146,"Input SGST","Statutory Dues",0,0
147,"Input UTGST ","Statutory Dues",0,0
148,"Input IGST","Statutory Dues",0,0
149,"Input VAT","Statutory Dues",0,0
150,"Output VAT","Statutory Dues",0,0
151,"IGst On Purchase Cancellation A/c","Statutory Dues",0,0
152,"IGst On Sale Cancellation A/c","Statutory Dues",0,0
153,"Sgst On Purchase Cancellation A/c","Statutory Dues",0,0
154,"Sgst On Sale Cancellation A/c","Statutory Dues",0,0
155,"Cgst On Purchase Cancellation A/c","Statutory Dues",0,0
156,"Cgst On Sale Cancellation A/c","Statutory Dues",0,0
157,"Ugst On Purchase Cancellation A/c","Statutory Dues",0,0
158,"Ugst On Sale Cancellation A/c","Statutory Dues",0,0
159,"Vat On Sale Cancellation A/c","Statutory Dues",0,0
160,"Vat On Purchase Cancellation A/c","Statutory Dues",0,0
161,"Cancellation Charges Received","Indirect Income",0,0
162,"Visa Cancellation Expenses","Purchase Return",0,0
163,"Passport Cancellation Expenses","Purchase Return",0,0
164,"Dmc Cancellation Expenses","Purchase Return",0,0
165,"Profit and Loss Account ",Capital,0,0
166,"Sales Incentive Paid","Employee Benefit Expenses",0,0
167,"Other Purchases","Direct Expenses",0,0
168,"Other Purchases Cancellation","Purchase Return",0,0
169,"Miscellaneous Services Sales","Sale of Services",0,0
170,"Miscellaneous Services Sales Return","Sales Return",0,0
171,"Expenses For Miscellaneous Services","Direct Expenses",0,0
172,"Miscellaneous Cancellation Expenses","Purchase Return",0,0
173,"Profit Of The Year",Equity,0,0
174,"Flight Tickets Sales(international)","Sale of Services",0,0
175,"Flight Tickets Sales Return(international)","Sales Return",0,0
176,"B2B Booking Services sales","Sale of Services",0,0
177,"B2B Booking sales Return","Sales Return",0,0
178,"Expenses For B2B Services","Direct Expenses",0,0
179,"B2B Cancellation Expenses","Purchase Return",0,0
180,"B2C Booking Services sales","Sale of Services",0,0
181,"B2C Booking sales Return","Sales Return",0,0
182,"Expenses For B2C Services","Direct Expenses",0,0
183,"B2C Cancellation Expenses","Purchase Return",0,0
184,"Group Service Charge","Service Charges Received",0,0
185,"Package Service Charge","Service Charges Received",0,0
186,"Hotel Service Charge","Service Charges Received",0,0
187,"Flight Service Charge","Service Charges Received",0,0
188,"Visa Service Charge","Service Charges Received",0,0
189,"Train Service Charge","Service Charges Received",0,0
190,"Bus Service Charge","Service Charges Received",0,0
191,"Car Rental Service Charge","Service Charges Received",0,0
192,"Activity Service Charge","Service Charges Received",0,0
193,"Miscellaneous Service Charge","Service Charges Received",0,0
194,"Passport Service Charge","Service Charges Received",0,0
195,"Forex Service Charge","Service Charges Received",0,0
196,"Group Tours Markup","Service Charges Received",0,0
197,"Package Tours Markup","Service Charges Received",0,0
198,"Hotel Booking Markup","Service Charges Received",0,0
199,"Flight Booking Markup","Service Charges Received",0,0
200,"Visa Booking Markup","Service Charges Received",0,0
201,"Train Ticket Markup","Service Charges Received",0,0
202,"Bus Booking Markup","Service Charges Received",0,0
203,"Car Rental Markup","Service Charges Received",0,0
204,"Activity Booking Markup","Service Charges Received",0,0
205,"Miscellaneous Markup","Service Charges Received",0,0
206,"B2B Booking Markup","Service Charges Received",0,0
207,"Passport Booking Markup","Service Charges Received",0,0
208,"Group Tours Cancellation Charge","Service Charges Received",0,0
209,"Package Tours Cancellation Charge","Service Charges Received",0,0
210,"Hotel Booking Cancellation Charge","Service Charges Received",0,0
211,"Flight Booking Cancellation Charge","Service Charges Received",0,0
212,"Train Ticket Cancellation Charge","Service Charges Received",0,0
213,"Visa Cancellation Charge","Service Charges Received",0,0
214,"Bus Booking Cancellation Charge","Service Charges Received",0,0
215,"Car Rental Cancellation Charge","Service Charges Received",0,0
216,"Activity Cancellation Charge","Service Charges Received",0,0
217,"Miscellaneous Cancellation Charge","Service Charges Received",0,0
218,"Passport Booking Cancellation Charge","Service Charges Received",0,0
219,"B2B Booking Cancellation Charge","Service Charges Received",0,0
220,"Agent Deposit Incentive Account","Direct Expenses",0,0
221,"Airline Commision","Service Charges Received",0,0
222,"Hotel Commision","Service Charges Received",0,0
223,"BSP Code","Trade Payable",0,0
224,"Credit Card Charges","Finance Charges",0,0
225,"Demand Draft Charges","Finance Charges",0,0
226,"Discount on Hotel Invoices","Direct Expenses",0,0
227,"Discount on Flight Invoices","Direct Expenses",0,0
228,"TDS Payble on Salary","Statutory Dues",0,0
229,"Write Off Account","Direct Expenses",0,0
230,"Round Off Account","Direct Expenses",0,0
231,"Credit Card Financial Charges","Finance Charges",0,0
232,"Output TCS","Statutory Dues",0,0
233,"37_Sonam Package Customer ","Trade Receivables",0,0
234,"Advances from PARI COMP A/c","Advance from customers",0,0
235,38_Surabh_Dangi,"Trade Receivables",0,0
236,38_Surabh_Dangi,"Trade Receivables",0,0
237,39_Rupali_Bhore,"Trade Receivables",0,0
238,2_MTDC,"Trade Payable",0,0
239,"Advances from Tours and Travels A/c","Advance from customers",0,0
240,Infosys,"Trade Receivables",0,0
241,ITOURS,"Trade Receivables",0,0
242,"IWS Flight","Trade Receivables",0,0
243,"1_sdfs'dfs df","Trade Payable",0,0
244,"43_Sonam Tours2 Visa","Trade Receivables",0,0
245,"44_Sushir Visa customer ","Trade Receivables",0,0
246,"45_Chaityana ","Trade Receivables",0,0
247,"Canara Bank(pashan)","Bank Balances",0,0
248,"46_Sonam Hotel Booking ","Trade Receivables",0,0
249,sdfghvc,"Trade Receivables",0,0
